raceId,driverId,stop,lap,time_old,duration,milliseconds,year,round,circuitId,name_old,date,time,urlRaces,driverRef,number,code,forename,surname,dob,nationality,urlDrivers,circuitRef,name,location,country,latitude,longitude,altitude,urlCircuits
841,153,1,1,17:05:23,26.898,26898,,,nan,,,,,alguersuari,\N,ALG,Jaime,Alguersuari,1990-03-23,Spanish,http://en.wikipedia.org/wiki/Jaime_Alguersuari,,,,,,,,
841,30,1,1,17:05:52,25.021,25021,,,nan,,,,,michael_schumacher,\N,MSC,Michael,Schumacher,1969-01-03,German,http://en.wikipedia.org/wiki/Michael_Schumacher,,,,,,,,
841,17,1,11,17:20:48,23.426,23426,,,nan,,,,,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),,,,,,,,
841,4,1,12,17:22:34,23.251,23251,,,nan,,,,,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso,,,,,,,,
841,13,1,13,17:24:10,23.842,23842,,,nan,,,,,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa,,,,,,,,
841,22,1,13,17:24:29,23.643,23643,,,nan,,,,,barrichello,\N,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello,,,,,,,,
841,20,1,14,17:25:17,22.603,22603,,,nan,,,,,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel,,,,,,,,
841,814,1,14,17:26:03,24.863,24863,,,nan,,,,,resta,\N,DIR,Paul,di Resta,1986-04-16,British,http://en.wikipedia.org/wiki/Paul_di_Resta,,,,,,,,
841,816,1,14,17:26:50,25.259,25259,,,nan,,,,,ambrosio,\N,DAM,Jérôme,d'Ambrosio,1985-12-27,Belgian,http://en.wikipedia.org/wiki/J%C3%A9r%C3%B4me_d%27Ambrosio,,,,,,,,
841,67,1,15,17:27:34,25.342,25342,,,nan,,,,,buemi,\N,BUE,Sébastien,Buemi,1988-10-31,Swiss,http://en.wikipedia.org/wiki/S%C3%A9bastien_Buemi,,,,,,,,
841,2,1,15,17:27:41,22.994,22994,,,nan,,,,,heidfeld,\N,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld,,,,,,,,
